COMUNA,LOCAL DE VOTACION,NOMBRE DEL CANDIDATO,VOTOS,CALLE,NUMERO,LATITUD,LONGITUD,Lista
SAN MIGUEL,C.P.F de san miguel,Jose Luis Oyarce Garay,0,SAN FRANCISCO,4756,-33.497879,-70.646925,I
SAN MIGUEL,C.P.F de san miguel,Joshua Andrei Carcamo Solar,1,SAN FRANCISCO,4756,-33.497879,-70.646925,Y
SAN MIGUEL,C.P.F de san miguel,Lisette Wendoline Roa Aedo,0,SAN FRANCISCO,4756,-33.497879,-70.646925,U
SAN MIGUEL,C.P.F de san miguel,Luis Humberto Sanhueza Bravo,0,SAN FRANCISCO,4756,-33.497879,-70.646925,I
SAN MIGUEL,C.P.F de san miguel,Luisa Cristina Alves Flores,1,SAN FRANCISCO,4756,-33.497879,-70.646925,X
SAN MIGUEL,C.P.F de san miguel,Luz Marina Garrido De La Vega,0,SAN FRANCISCO,4756,-33.497879,-70.646925,F
SAN MIGUEL,C.P.F de san miguel,Marcela Susana Arias Garcia,1,SAN FRANCISCO,4756,-33.497879,-70.646925,Y
SAN MIGUEL,C.P.F de san miguel,Maria Eugenia Tamar Arce Soto,0,SAN FRANCISCO,4756,-33.497879,-70.646925,T
SAN MIGUEL,C.P.F de san miguel,Matias Andres Aranguiz Kahn,0,SAN FRANCISCO,4756,-33.497879,-70.646925,G
SAN MIGUEL,C.P.F de san miguel,Michael Elias Lagos Guajardo,0,SAN FRANCISCO,4756,-33.497879,-70.646925,Y
SAN MIGUEL,C.P.F de san miguel,Mitzy Alejandra Ramirez Vidal,3,SAN FRANCISCO,4756,-33.497879,-70.646925,T
SAN MIGUEL,C.P.F de san miguel,Monica Alejandra Squella Rojas,0,SAN FRANCISCO,4756,-33.497879,-70.646925,F
SAN MIGUEL,C.P.F de san miguel,Monica Gloria Reyes Riffo,4,SAN FRANCISCO,4756,-33.497879,-70.646925,B
SAN MIGUEL,C.P.F de san miguel,Pablo Esteban Leal Sepulveda,1,SAN FRANCISCO,4756,-33.497879,-70.646925,Y
SAN MIGUEL,C.P.F de san miguel,Pablo Ignacio Zola Corvalan,0,SAN FRANCISCO,4756,-33.497879,-70.646925,I
SAN MIGUEL,C.P.F de san miguel,Pamela Angella Pistono Tiboni,0,SAN FRANCISCO,4756,-33.497879,-70.646925,I
SAN MIGUEL,C.P.F de san miguel,Pedro Alejandro Valenzuela Yañez,0,SAN FRANCISCO,4756,-33.497879,-70.646925,X
SAN MIGUEL,C.P.F de san miguel,Rafael Alejandro Chacon Rebolledo,0,SAN FRANCISCO,4756,-33.497879,-70.646925,U
SAN MIGUEL,C.P.F de san miguel,Ricardo Alberto Alegria Abarca,0,SAN FRANCISCO,4756,-33.497879,-70.646925,U
SAN MIGUEL,C.P.F de san miguel,Rodolfo Antonio Silva Norambuena,1,SAN FRANCISCO,4756,-33.497879,-70.646925,T
SAN MIGUEL,C.P.F de san miguel,Rodrigo Loyola Arancibia,1,SAN FRANCISCO,4756,-33.497879,-70.646925,B
SAN MIGUEL,C.P.F de san miguel,Ruben Carvacho Saez,2,SAN FRANCISCO,4756,-33.497879,-70.646925,E
SAN MIGUEL,C.P.F de san miguel,Sebastian Andres Mendez Almazan,0,SAN FRANCISCO,4756,-33.497879,-70.646925,U
SAN MIGUEL,C.P.F de san miguel,Susan Sol Atuan Salcedo,1,SAN FRANCISCO,4756,-33.497879,-70.646925,I
SAN MIGUEL,C.P.F de san miguel,Tania Alejandra Lagos Anabalon,1,SAN FRANCISCO,4756,-33.497879,-70.646925,F
SAN MIGUEL,C.P.F de san miguel,Tatiana del Pilar Riveros Gutierrez,6,SAN FRANCISCO,4756,-33.497879,-70.646925,R
SAN MIGUEL,C.P.F de san miguel,Valeria Belen Reyes Policroni,0,SAN FRANCISCO,4756,-33.497879,-70.646925,G
SAN MIGUEL,C.P.F de san miguel,Viviana Paz Llambias Miranda,0,SAN FRANCISCO,4756,-33.497879,-70.646925,A
SAN MIGUEL,colegio bicentenario santo cura de ars,Alejandro Antonio Hidalgo Araya,41,CARMEN MENA,939,-33.5068,-70.6519,F
SAN MIGUEL,colegio bicentenario santo cura de ars,Andrea Solange Charpentier Luci,16,CARMEN MENA,939,-33.5068,-70.6519,G
SAN MIGUEL,colegio bicentenario santo cura de ars,Andres Kebir Diban Dinamarca,181,CARMEN MENA,939,-33.5068,-70.6519,A
SAN MIGUEL,colegio bicentenario santo cura de ars,Bastian Woldarsky Cumsille,62,CARMEN MENA,939,-33.5068,-70.6519,E
SAN MIGUEL,colegio bicentenario santo cura de ars,Betzabe Moya Cabello,90,CARMEN MENA,939,-33.5068,-70.6519,A
SAN MIGUEL,colegio bicentenario santo cura de ars,Camila Paz Ramirez Rebolledo,63,CARMEN MENA,939,-33.5068,-70.6519,X
SAN MIGUEL,colegio bicentenario santo cura de ars,Carla Andrea Santana Bustamante,138,CARMEN MENA,939,-33.5068,-70.6519,A
SAN MIGUEL,colegio bicentenario santo cura de ars,Carlos Alberto Perez Aguirre,90,CARMEN MENA,939,-33.5068,-70.6519,A
SAN MIGUEL,colegio bicentenario santo cura de ars,Carlos Arnoldo Garcia Ponce,18,CARMEN MENA,939,-33.5068,-70.6519,U
SAN MIGUEL,colegio bicentenario santo cura de ars,Carlos Enrique Torres Perez,53,CARMEN MENA,939,-33.5068,-70.6519,E
SAN MIGUEL,colegio bicentenario santo cura de ars,Cesar Benavides Diaz,33,CARMEN MENA,939,-33.5068,-70.6519,I
SAN MIGUEL,colegio bicentenario santo cura de ars,Claudia Rojas Miranda,127,CARMEN MENA,939,-33.5068,-70.6519,E
SAN MIGUEL,colegio bicentenario santo cura de ars,Claudio Escobar Oyarzun,336,CARMEN MENA,939,-33.5068,-70.6519,ZZI
SAN MIGUEL,colegio bicentenario santo cura de ars,Cristian Alejandro Marambio Gomez,31,CARMEN MENA,939,-33.5068,-70.6519,Y
SAN MIGUEL,colegio bicentenario santo cura de ars,Cristian Ignacio Duran Martinez,58,CARMEN MENA,939,-33.5068,-70.6519,A
SAN MIGUEL,colegio bicentenario santo cura de ars,Cristian Rodrigo Hidalgo Morales,13,CARMEN MENA,939,-33.5068,-70.6519,A
SAN MIGUEL,colegio bicentenario santo cura de ars,Cristian Rodrigo Ocaranza Valenzuela,30,CARMEN MENA,939,-33.5068,-70.6519,U
SAN MIGUEL,colegio bicentenario santo cura de ars,Daniela Patricia Carvajal Sanchez,117,CARMEN MENA,939,-33.5068,-70.6519,P
SAN MIGUEL,colegio bicentenario santo cura de ars,David Alejandro Contreras Nuñez,42,CARMEN MENA,939,-33.5068,-70.6519,U
SAN MIGUEL,colegio bicentenario santo cura de ars,David Eduardo Navarro Carachi,60,CARMEN MENA,939,-33.5068,-70.6519,T
SAN MIGUEL,colegio bicentenario santo cura de ars,David Ismael Gabriel Gomez Vasquez,9,CARMEN MENA,939,-33.5068,-70.6519,G
SAN MIGUEL,colegio bicentenario santo cura de ars,David Ulises Mateluna Lagos,23,CARMEN MENA,939,-33.5068,-70.6519,B
SAN MIGUEL,colegio bicentenario santo cura de ars,Erika Cecilia Contreras Delgado,38,CARMEN MENA,939,-33.5068,-70.6519,X
SAN MIGUEL,colegio bicentenario santo cura de ars,Erwin Andres Vera Salazar,11,CARMEN MENA,939,-33.5068,-70.6519,X
